Date,Open,High,Low,Close
11/10/2021,"4,674.75","4,680.25","4,625.25","4,642.00"
11/09/2021,"4,690.75","4,700.50","4,663.25","4,678.25"
11/08/2021,"4,678.50","4,707.00","4,676.25","4,694.00"
11/05/2021,"4,671.75","4,711.75","4,667.50","4,690.25"
11/04/2021,"4,651.50","4,676.25","4,650.75","4,673.25"
11/03/2021,"4,621.25","4,657.00","4,613.00","4,652.25"
11/02/2021,"4,605.75","4,627.00","4,593.25","4,623.50"
11/01/2021,"4,608.00","4,619.50","4,586.50","4,605.75"
10/29/2021,"4,577.00","4,603.50","4,559.25","4,597.00"
10/28/2021,"4,548.75","4,589.75","4,545.25","4,587.50"
10/27/2021,"4,563.75","4,576.75","4,543.75","4,544.50"
10/26/2021,"4,564.75","4,590.00","4,560.75","4,565.25"
10/25/2021,"4,528.75","4,566.25","4,522.50","4,558.00"
10/22/2021,"4,530.00","4,551.50","4,515.25","4,536.50"
10/21/2021,"4,525.00","4,543.25","4,510.25","4,541.75"
10/20/2021,"4,516.00","4,532.25","4,504.00","4,528.00"
10/19/2021,"4,475.75","4,517.50","4,471.75","4,511.25"
10/18/2021,"4,465.50","4,479.75","4,436.25","4,477.50"
10/15/2021,"4,433.00","4,467.50","4,426.25","4,462.50"
10/14/2021,"4,354.75","4,437.25","4,354.00","4,429.00"
10/13/2021,"4,327.50","4,364.75","4,318.75","4,355.00"
10/12/2021,"4,347.75","4,365.00","4,317.25","4,340.75"
10/11/2021,"4,381.00","4,407.50","4,344.00","4,351.00"
10/08/2021,"4,390.50","4,407.75","4,376.25","4,382.25"
10/07/2021,"4,355.25","4,421.50","4,355.00","4,390.00"
10/06/2021,"4,334.00","4,357.50","4,273.75","4,354.00"
10/05/2021,"4,295.75","4,359.75","4,269.00","4,334.00"
10/04/2021,"4,349.00","4,362.00","4,267.50","4,291.25"
10/01/2021,"4,301.00","4,365.75","4,260.00","4,343.75"
09/30/2021,"4,360.00","4,389.00","4,294.25","4,297.75"
09/29/2021,"4,347.50","4,378.75","4,344.25","4,349.75"
09/28/2021,"4,429.75","4,442.00","4,334.75","4,343.50"
09/27/2021,"4,446.00","4,472.00","4,425.00","4,433.00"
09/24/2021,"4,439.00","4,453.00","4,410.75","4,445.75"
09/23/2021,"4,386.00","4,455.00","4,385.75","4,438.00"
09/22/2021,"4,336.50","4,406.50","4,321.25","4,384.00"
09/21/2021,"4,342.50","4,395.75","4,329.25","4,343.25"
09/20/2021,"4,411.75","4,418.00","4,293.75","4,348.25"
09/17/2021,"4,459.25","4,472.50","4,406.50","4,421.80"
09/16/2021,"4,476.00","4,478.50","4,433.25","4,464.20"
09/15/2021,"4,437.00","4,477.75","4,427.50","4,472.00"
09/14/2021,"4,465.75","4,479.50","4,425.25","4,434.80"
09/13/2021,"4,451.75","4,483.50","4,434.50","4,459.40"
09/10/2021,"4,482.00","4,509.25","4,447.25","4,449.00"
09/09/2021,"4,501.75","4,519.75","4,476.25","4,483.00"
09/08/2021,"4,517.50","4,524.75","4,492.00","4,512.60"
09/07/2021,"4,545.25","4,545.25","4,510.75","4,519.30"
09/03/2021,"4,536.75","4,549.50","4,519.25","4,534.40"
09/02/2021,"4,522.50","4,544.00","4,516.00","4,535.20"
09/01/2021,"4,527.75","4,540.00","4,519.25","4,521.30"
08/31/2021,"4,529.50","4,542.25","4,512.50","4,520.50"
08/30/2021,"4,508.75","4,534.50","4,500.75","4,525.20"
08/27/2021,"4,470.00","4,510.00","4,462.25","4,505.60"
08/26/2021,"4,493.75","4,494.25","4,465.00","4,466.50"
08/25/2021,"4,483.50","4,498.00","4,476.25","4,492.90"
08/24/2021,"4,481.00","4,492.00","4,476.75","4,482.50"
08/23/2021,"4,435.00","4,485.75","4,433.50","4,475.50"
08/20/2021,"4,403.75","4,440.50","4,371.75","4,436.90"
08/19/2021,"4,389.75","4,414.75","4,347.75","4,401.40"
08/18/2021,"4,436.75","4,449.75","4,381.50","4,394.50"
08/17/2021,"4,472.00","4,472.25","4,411.75","4,443.60"
08/16/2021,"4,456.25","4,476.50","4,432.50","4,474.00"
08/13/2021,"4,455.75","4,463.25","4,451.00","4,462.50"
08/12/2021,"4,440.00","4,456.25","4,430.25","4,454.60"
08/11/2021,"4,429.25","4,443.25","4,420.75","4,440.60"
08/10/2021,"4,427.25","4,438.25","4,416.50","4,429.90"
08/09/2021,"4,428.00","4,432.00","4,412.25","4,425.70"
08/06/2021,"4,420.25","4,433.25","4,416.00","4,429.40"
08/05/2021,"4,396.25","4,422.75","4,393.75","4,421.60"
08/04/2021,"4,409.75","4,415.00","4,391.25","4,394.70"
08/03/2021,"4,383.75","4,417.00","4,365.25","4,415.10"
08/02/2021,"4,396.50","4,419.75","4,377.25","4,379.70"
07/30/2021,"4,394.25","4,405.00","4,370.75","4,389.50"
07/29/2021,"4,393.75","4,422.50","4,380.50","4,411.80"
07/28/2021,"4,380.00","4,407.75","4,377.50","4,393.80"
07/27/2021,"4,415.75","4,416.00","4,364.75","4,394.60"
07/26/2021,"4,400.50","4,416.75","4,375.50","4,414.30"
